SDO_time,epihi_jlinlin,psp_orbit,epilo_jlinlin,psp_ephem_features_HCI_R,psp_stonyhurst_lon,psp_footpoint_stonyhurst_lon,photo_captures_footprint,t_offset_s,epihi_jlinlin_offset,epilo_jlinlin_offset
2019-01-01 00:00:10.347,3.925862e-11,0.0,0.0005789954855555,0.8949363416666666,-144.72095467882394,-89.10060838218328,0,111568.73059444444,5.368871855555556e-11,0.0007688942596969697
2019-01-01 03:00:10.347,2.4826601e-11,0.0,0.00108446013125,0.8955080308333334,-144.76591861447633,-89.10996937706841,0,111640.00117722224,5.263990799999999e-11,0.0008157552452941175
2019-01-01 06:00:10.346,3.4162668e-11,0.0,0.0015367583444444,0.896075756111111,-144.81099142654006,-89.11968545610893,0,111710.77759518518,4.600374177777778e-11,0.0007025829278787879
2019-01-01 09:00:10.346,6.404155000000001e-11,0.0,0.00066273038375,0.8966395433333333,-144.85616625602492,-89.12975543585833,0,111781.06306888888,4.2848276444444446e-11,0.0004194081123529412
2019-01-01 12:00:10.346,6.9652383e-11,0.0,0.0003015078575,0.8971993958333333,-144.90145218047695,-89.14017813678544,0,111850.8580138889,4.279315244444445e-11,0.00031166015939393946
2019-01-01 15:00:10.347,6.8243925e-11,0.0,0.0003242347511111,0.8977553061111112,-144.94684309869248,-89.15095238788467,0,111920.1614951852,4.2724635300000006e-11,0.00033179598411764704
2019-01-01 18:00:10.346,8.6791055e-11,0.0,0.00044813838125,0.8983072786111109,-144.99234125694454,-89.16207702044113,0,111988.97406685184,4.3036798111111114e-11,0.0003974839006060606
2019-01-01 21:00:06.507,8.049535399999999e-11,0.0,0.0003624490222222,0.8988553202777777,-145.03793903516532,-89.17354673617268,0,112057.29659462962,4.793659333333333e-11,0.0019101957447058824
2019-01-02 00:00:10.346,4.7674667e-11,0.0,0.00032053325875,0.8993994277777776,-145.0836386786233,-89.18537280593125,0,112125.12866296292,4.666641022222223e-11,0.0020928331236363634
2019-01-02 03:00:10.347,2.9861432e-11,0.0,0.0001225300777777,0.8999396244444444,-145.1294439499332,-89.19754166205024,0,112192.47318074077,4.423490033333333e-11,0.0020932265879411763
2019-01-02 06:00:10.347,6.3899153e-11,0.0,0.0005415847,0.900475888888889,-145.17534722760684,-89.21005630260629,0,112259.32748148148,4.214276444444444e-11,0.0021804810338235292
2019-01-02 09:00:10.347,4.3961817000000005e-11,0.0,0.0003392729325,0.9010082349999998,-145.22135379118944,-89.22291559547966,0,112325.69329666664,4.097190233333333e-11,0.0007513055205882354
2019-01-02 12:00:10.347,5.0646896499999996e-11,0.0,0.0006674861222222,0.9015366736111112,-145.26745753616032,-89.23611841437639,0,112391.57197685188,3.814873455555556e-11,0.0005829085532352942
2019-01-02 18:00:02.495,5.2181816e-11,0.0,0.0011200031733333,0.9025818380555556,-145.35996402442902,-89.26353993602311,0,112521.86914425928,5.3563523666666666e-11,0.00046485494147058823
2019-01-02 21:00:06.507,6.427423349999999e-11,0.0,0.00032513814625,0.9030985508333336,-145.4063613869566,-89.27777173638867,0,112586.28600388892,5.838314933333333e-11,0.0007279468826470589
2019-01-03 00:00:10.346,2.01123485e-11,0.0,0.0001201189822222,0.9036113761111112,-145.4528565530171,-89.2923426328482,0,112650.21822185186,5.966987777777778e-11,0.0008635725438235293
2019-01-03 03:00:10.352,3.0157938e-11,0.0,6.220890625e-05,0.9041203008333332,-145.49944341627926,-89.3072464039052,0,112713.66417055557,6.715323300000001e-11,0.0008784821294117647
2019-01-03 06:00:10.352,4.9084818e-11,0.0,0.0005530009777777,0.9046253325,-145.54612725375122,-89.32248706029128,0,112776.624785,5.929080466666668e-11,0.0011643947764705881
2019-01-03 09:00:10.350,4.9942103e-11,0.0,0.00059066407125,0.905126480277778,-145.59290195850065,-89.33806352318265,0,112839.10120796296,4.739153083333333e-11,0.0009897435247058824
2019-01-03 12:00:10.347,3.99383235e-11,0.0,0.0063843357625,0.9056237352777776,-145.63976901241887,-89.35397471598787,0,112901.09233129628,4.64060955e-11,0.0008900287273529412
2019-01-03 15:00:10.350,5.22070165e-11,0.0,0.0004632942055555,0.9061171191666668,-145.6867329327787,-89.37021957796156,0,112962.60085611112,3.919650272222222e-11,0.0007427865244117648
